STT;SBD;GioiTinh;KV;HocLuc;HanhKiem;DTBLop12;MaHuyen;MaTruongPT;TO;VA;LI;HO;SI;SU;DI;GDCD;NN;
13326;37013326;Nu;;Kha;Tot;6,9;03;043;4,6;4;;;;3,75;5,75;8,75;4,4;
13327;37013327;Nu;2NT;Kha;Tot;7,1;03;043;5,2;5,75;;;;4,75;5;8,25;3,6;
13328;37013328;Nu;1;Gioi;Tot;8,4;03;043;8,4;6,75;8,25;8,25;6,75;;;;5,6;
13329;37013329;Nu;2NT;Gioi;Tot;8,3;03;043;8,2;7;8,25;8;6;;;;4,8;
13330;37013330;Nu;2NT;Kha;Tot;7,6;03;043;6,4;6,25;;;;5,75;7,25;9,25;4,2;
13331;37013331;Nam;1;Trung binh;Trung binh;6,3;03;043;7,4;5;;;;3,5;6;8,5;2;
13332;37013332;Nam;;Kha;Tot;7,2;03;043;5,6;4,75;;;;4,75;6,75;8,75;3,4;
13333;37013333;Nam;2NT;Kha;Tot;7,6;03;043;6,8;6,25;;;;4,5;6,75;9;4,4;
13334;37013334;Nam;2NT;Kha;Tot;7,8;03;043;7,8;6;7;8;5,25;;;;4,2;
13335;37013335;Nu;2NT;Kha;Tot;7,5;03;043;6;5;;;;5;6,25;8;3,6;
13336;37013336;Nam;;Trung binh;Tot;6,6;03;043;5,6;5,25;;;;3,25;5,5;8;1,6;
13337;37013337;Nam;;Kha;Tot;7,6;03;043;6,2;7;;;;4,75;6,75;8,75;3,2;
13338;37013338;Nu;2NT;Kha;Tot;8,1;03;043;6,6;6,5;;;;3,25;6,5;9;4;
13339;37013339;Nu;2NT;Gioi;Tot;8,5;03;043;8;8;7,5;7;5,75;;;;6;
13340;37013340;Nam;;Kha;Tot;7,7;03;043;8;6,25;;;;4,75;8;9;4,2;
13341;37013341;Nu;2NT;Kha;Tot;8;03;043;7,6;7,75;;;;5;6,25;9,25;4,6;
13342;37013342;Nam;1;Trung binh;Tot;6,3;03;043;7;6;;;;4,5;6,75;;3,2;
13343;37013343;Nu;2NT;Gioi;Tot;8,3;03;043;8,2;6,5;;;;4;8,25;9;5,2;
13344;37013344;Nu;2NT;Gioi;Tot;8,3;03;043;7,8;6,75;;;;4;6;7,75;3,8;
13345;37013345;Nam;1;Gioi;Tot;8,5;03;043;9,2;6,75;7,75;7;5,5;;;;4;
13346;37013346;Nam;1;Gioi;Tot;8,4;03;043;8,8;6,5;7,5;7,75;5;;;;4,2;
13347;37013347;Nu;2NT;Gioi;Tot;8,1;03;043;7,8;5,75;7,25;7;5,25;;;;4,6;
13348;37013348;Nu;;Kha;Tot;7,1;03;043;6,6;7,5;;;;5,75;7,25;9,5;3,8;
13349;37013349;Nu;;Kha;Tot;7,5;03;043;7;6,5;;;;4,75;5,75;8,5;3,6;
13350;37013350;Nu;2NT;Kha;Tot;7,7;03;043;7;5,75;;;;5,25;5,5;9,25;4,8;
13351;37013351;Nu;2NT;Gioi;Tot;8,1;03;043;9;7,25;7,25;5,75;5;;;;3,8;
13352;37013352;Nu;2NT;Kha;Tot;7,3;03;043;6,6;6,5;;;;3,5;6,5;8,25;5;
13353;37013353;Nu;;Kha;Tot;7,2;03;043;4,8;5,75;;;;2;5,25;8,75;3,2;
13354;37013354;Nam;1;Kha;Tot;7,7;03;043;8,2;6;6,5;8,5;6,5;;;;3;
13355;37013355;Nam;;Kha;Tot;7,2;03;043;3,2;4,25;;;;4,25;5,25;7,5;3;
13356;37013356;Nu;2NT;Kha;Tot;7,9;03;043;7;6,5;6,75;7,75;6,5;;;;5;
13357;37013357;Nu;2NT;Kha;Tot;7,9;03;043;7,2;8,25;;;;5,25;6,75;9;3,6;
13358;37013358;Nu;2NT;Kha;Tot;7,6;03;043;6,2;6;5,5;7,5;5,5;;;;4;
13359;37013359;Nu;;Kha;Tot;7,1;03;043;5,4;5,75;;;;6;6,25;8,25;3,8;
13360;37013360;Nu;2NT;Kha;Tot;7,6;03;043;6,4;6;;;;4;6,25;8;5;
13361;37013361;Nu;1;Kha;Tot;7,5;03;043;5,2;6,5;;;;6;7,75;8,25;3;
13362;37013362;Nu;1;Kha;Tot;7,7;03;043;7,2;5,75;;;;5,5;6;8,75;5;
13363;37013363;Nam;;Kha;Tot;7,3;03;043;5,6;5;;;;4;7,25;7;2,8;
13364;37013364;Nu;2NT;Gioi;Tot;8,2;03;043;7,8;8;4,75;6,5;5,25;;;;6,8;
13365;37013365;Nu;2NT;Gioi;Tot;8,1;03;043;8;6;8,25;7,75;4,5;;;;6,4;
13366;37013366;Nu;2NT;Kha;Tot;7,1;03;043;7,4;4,5;;;;4;6;9,5;3,8;
13367;37013367;Nu;2NT;Kha;Tot;7,8;03;043;8;5;5,75;6,25;5,75;;;;5,6;
13368;37013368;Nu;2NT;Gioi;Tot;8,5;03;043;8,6;6,25;6,25;8;8,5;;;;5,8;
13369;37013369;Nu;;Kha;Tot;7,4;03;043;5,6;5;;;;5,5;6,25;7,25;3,6;
13370;37013370;Nam;;Kha;Tot;7,5;03;043;5,4;6,5;;;;4;5,75;8,5;3,4;
13371;37013371;Nam;;Kha;Tot;7,7;03;043;6,4;6,75;;;;6,25;8,25;9,5;4,4;
13372;37013372;Nu;2NT;Gioi;Tot;8,6;03;043;8,4;7,5;6,25;8,25;8,25;;;;5,4;
13373;37013373;Nu;;Kha;Tot;7,3;03;043;4,8;3;;;;4;6,75;8,5;3,4;
13374;37013374;Nu;1;Kha;Tot;7,3;03;043;7,4;6,25;;;;4,75;8;8,25;4,8;
13375;37013375;Nu;;Kha;Tot;7,7;03;043;5,6;7;;;;5,5;6,5;8,75;3,6;
13376;37013376;Nam;2NT;Kha;Tot;6,9;03;043;3,8;5,75;;;;3,5;5;8,25;2,2;
13377;37013377;Nu;2NT;Kha;Tot;7,8;03;043;6,6;7,25;;;;6;7;9,5;5;
13378;37013378;Nam;1;Trung binh;Kha;6,8;03;043;5,8;6,5;;;;5;6,5;9,25;4,6;
13379;37013379;Nam;;Trung binh;Tot;7,2;03;043;5,8;6;;;;4,75;7;8,5;4;
13380;37013380;Nam;1;Kha;Tot;7,9;03;043;6,4;5;;;;4;8;9,25;3,8;
13381;37013381;Nam;;Kha;Kha;7;03;043;3,6;3,25;;;;3;6;7;3,2;
13382;37013382;Nam;2NT;Kha;Tot;7;03;043;4,8;6;;;;7,25;8,75;8,75;3,2;
13383;37013383;Nu;;Kha;Tot;7,7;03;043;6,8;6,25;;;;3,75;4,5;8,5;5,2;
13384;37013384;Nu;2NT;Kha;Tot;7,9;03;043;7,2;6,25;6;5,75;4,25;;;;4,6;
13385;37013385;Nam;;Kha;Tot;7,3;03;043;5;4;;;;3,75;6;7,75;5,8;
13386;37013386;Nam;;Trung binh;Kha;5,8;03;043;2,8;5,5;;;;3,75;4;6,5;7,4;
13387;37013387;Nam;;Trung binh;Tot;7;03;043;4,4;4,25;;;;3,5;7,5;6,75;5;
13388;37013388;Nu;2NT;Gioi;Tot;8,4;03;043;7,4;7;;;;8,25;7,5;9,75;4,6;
13389;37013389;Nu;2NT;Gioi;Tot;8,6;03;043;8,4;7,75;7,25;7,75;7;;;;5,4;
13390;37013390;Nam;;Kha;Tot;6,9;03;043;4,2;4;;;;2,5;6;8;4,6;
13391;37013391;Nam;2NT;Kha;Tot;7,6;03;043;6,8;5,75;;;;5,5;7;9,25;5,2;
13392;37013392;Nu;2NT;Gioi;Tot;8,5;03;043;8,4;5,75;;;;6;7,75;9,25;8,6;
13393;37013393;Nam;;Kha;Tot;7,4;03;043;3,6;5;;;;4,5;6,25;8,25;5,2;
13394;37013394;Nam;;Trung binh;Tot;6,8;03;043;1,8;3,75;;;;3,5;7,25;8,75;2,8;
13395;37013395;Nam;2NT;Gioi;Tot;8,8;03;043;8,8;6;8,25;7,5;7,25;;;;9,2;
13396;37013396;Nam;2NT;Kha;Tot;8,2;03;043;7,8;6,75;7,25;6;5;;;;4,8;
13397;37013397;Nam;;Kha;Tot;7,2;03;043;6,8;5,75;;;;1,75;6;7,75;3,2;
13398;37013398;Nam;2NT;Gioi;Tot;8,7;03;043;8,8;6,5;9,25;9;6;;;;4,4;
13399;37013399;Nu;2NT;Gioi;Tot;8,3;03;043;7,6;6,75;;;;5,25;7;9,25;6,4;
13400;37013400;Nam;1;Gioi;Tot;8,3;03;043;8;6,75;7,75;7,25;4,25;;;;5,2;
13401;37013401;Nam;;Kha;Tot;7,5;03;043;6;5;;;;3,25;6;9;4,2;
13402;37013402;Nam;;Kha;Tot;7,4;03;043;6,4;6,25;;;;3,75;7;9,25;4,2;
13403;37013403;Nam;;Kha;Tot;7,7;03;043;6,8;7,25;;;;5;7;8,75;3,8;
13404;37013404;Nam;2NT;Kha;Tot;7,8;03;043;7,4;4;6;7,75;6;;;;5,2;
13405;37013405;Nu;;Kha;Tot;7,2;03;043;5,4;5,5;;;;5;7,25;8,5;3,6;
13406;37013406;Nu;2NT;Kha;Tot;7,7;03;043;8,2;7,25;;;;6,75;7,5;9,5;5;
13407;37013407;Nam;2NT;Gioi;Tot;8;03;043;7,6;6,5;7,5;5,75;6;;;;4,8;
13408;37013408;Nam;2NT;Gioi;Tot;8,3;03;043;7,6;6,5;7;8,25;6;;;;4,6;
13409;37013409;Nam;;Trung binh;Tot;6,1;03;043;2,8;4,25;;;;2,5;;8;4;
13410;37013410;Nam;2NT;Gioi;Tot;8,6;03;043;9,6;7,5;6,75;8,5;7,5;;;;7,2;
13411;37013411;Nam;2NT;Kha;Tot;7,1;03;043;6,4;6;;;;5,25;6,75;8,75;4,6;
13412;37013412;Nu;1;Kha;Tot;7,8;03;043;7;7,5;;;;4;6,75;8,25;5,4;
13413;37013413;Nu;2NT;Kha;Tot;7,7;03;043;7,4;7,25;;;;4;5,5;7,25;4,6;
13414;37013414;Nam;2NT;Trung binh;Kha;6,4;03;043;5,8;4,5;;;;5;5,5;7,25;4;
13415;37013415;Nu;2NT;Gioi;Tot;8,2;03;043;7,8;7,5;;;;3,25;8;9;5,2;
